few	sew
fewer	sewer
see	fee
fea	sea
say	fay
says	fays
same	fame
sell	fell
sunk	funk
selling	felling
sold	fold
rest	reft
send	fend
sends	fends
sender	fender
senders	fenders
sending	fending
soil	foil
flips	ships
arf	ars
barf	bars
beef	bees
belief	belies
boff	boss
buff	buss
buffed	bussed
chafe	chase
chafed	chased
chafer	chaser
chafers	chasers
chafes	chases
chafing	chasing
chefs	chess
cuff	cuss
cuffed	cussed
cussing	cuffing
gasses	gaffes
gaffing	gassing
goofed	goosed
goofier	goosier
goofiest	goosiest
goofing	goosing
goofy	goosy
grift	grist
grifts	grists
haft	hast
hafted	hasted
hafting	hasting
heft	hest
huffy	hussy
infect	insect
infects	insects
leaf	leas
leafed	leased
leafing	leasing
left	lest
lief	lies
lift	list
liftable	listable
lifted	listed
lifter	lister
lifters	listers
lifting	listing
lifts	lists
loft	lost
miff	miss
miffed	missed
misfile	missile
misfiles	missiles
miffing	missing
miffy	missy
mfg	msg
muff	muss
muffed	mussed
muffing	mussing
puff	puss
puffier	pussier
puffiest	pussiest
puffy	pussy
raffle	rassle
raffled	rassled
raffles	rassles
raffling	rassling
rafter	raster
rafters	rasters
relief	relies
resifted	resisted
resifting	resisting
refold	resold
rife	rise	
rifer	riser
ruffian	russian
ruffians	russians	
fable	sable
fables	sables
fag	sag
fagged	sagged
fagging	sagging
fags	sags
fail	sail
failed	sailed
failing	sailing
failings	sailings
fails	sails
faint	saint
fainted	sainted
fainting	sainting
faintly	saintly
faints	saints
faith	saith
fake	sake
fakes	sakes
fallow	sallow
fallowing	sallowing
fallows	sallows
falsify	salsify
falter	salter
falters	salters
fane	sane
fanes	sanes
fang	sang
fans	sans
fashed	sashed
fashes	sashes
fat	sat
fate	sate
fated	sated
fates	sates
fating	sating
fauces	sauces
fault	sault
faults	saults
fauna	sauna
faunas	saunas
favor	savor
favored	savored
favorer	savorer
favorers	savorers
favoring	savoring
favors	savors
favour	savour
favoured	savoured
favourer	savourer
favourers	savourers
favouring	savouring
favours	savours
fawn	sawn
scarf	scars
fear	sear
feared	seared
fearer	searer
fearing	searing
fears	sears
feat	seat
feats	seats
feed	seed
feeder	seeder
feeders	seeders
feeding	seeding
feedings	seedings
feeds	seeds
fees	sees
fellable	sellable
feller	seller
fellers	sellers
fells	sells
feral	seral
ferried	serried
ferries	serries
ferrying	serrying
fetter	setter
fetters	setters
fettle	settle
fettles	settles
fever	sever
fevered	severed
fevering	severing
fevers	severs
fickle	sickle
fiesta	siesta
fiestas	siestas
fight	sight
fighter	sighter
fighters	sighters
fighting	sighting
fightings	sightings
fights	sights
fill	sill
fillies	sillies
fills	sills
filly	silly
fin	sin
fine	sine
fines	sines
finger	singer
fingers	singers
finless	sinless
finned	sinned
finning	sinning
fins	sins
fire	sire
fired	sired
fires	sires
firing	siring
firs	sirs
fir	sir
sifter	sister
sifters	sisters
fit	sit
fits	sits
fitter	sitter
fitters	sitters
fitting	sitting
fittings	sittings
fix	six
fixes	sixes
fizzle	sizzle
fizzled	sizzled
fizzles	sizzles
fizzling	sizzling
flab	slab
flabs	slabs
flack	slack
flacks	slacks
flake	slake
flaked	slaked
